Book Reference No,Description,Material,Museum Reference No,Citation
448,Lanp,"Bronze; H. 5.9 cm, Diam. 13.1 cm, W.","Khartoum, National Museum 1826","448 Lanp

Bronze; H. 5.9 cm, Diam. 13.1 cm, W.

(with handles) 20.9 cm

From Meroe, northern cemetery, Pyramid Beg.
N 18, Chamber A

Harvard University—MFA Boston Expedition,
March 1921, field no. 21-3-644

First century A.D.

Khartoum, National Museum 1826

Lit: Reisner, Bull. MFA XXI/124 (1923): 25; ACK WV (1957),
147, 1498, fig. 97, 212, pl. LA-E; P. Shinnie, Meroé: A
Civilization of the Sudan (London, 1967), 223, pl. 70; Kendall,
catalogue Kush: Lost Kingdom of the Nile (Brockton, Hass.,
19082), 56f., no. 81; Torok, Meroitica 10 (1989): 144, no.
194, 183; Lenoble, Archéologie du Nil Moyen 6 (1994), 113
"
450,Bowt With LEDGE HANDLES,"Silver; H. 18.6 cm; W. 10.8 cm, Th. 20.8 cm","Khartoum, National Museum 1827","450 Bowt With LEDGE HANDLES

Silver; H. 18.6 cm; W. 10.8 cm, Th. 20.8 cm

From Heroe, northern cemetery, Pyramid Beg.
N 18, Chamber A

Harvard University—HFA Boston Expedition, March
1921, field no. 21-3-696

Heroitic, first to second century Ao,
Khartoum, National Museum 1827

The form of this lamp, as well as the
motif of the handle grasping the edge
of the bowl, are clear indications of
Roman workmanship. Like the lamps
in cats. 448-449, the bowl was part of
the funerary treasure of Queen
Amanikhatashan.

Lit: ACK W (1957), 147, 150f,, fig. 97, 212, pl. LIV.A, B; P.
Shinnie, Heroé: A Civilization of the Sudan (London, 1967),
130, 224, pl. 74; Torok, MML 10 (1972): 36(3), fig. 1 (3a,
3b); 1. Hofmann, Beitrage zur meroitischen Chronologie,
Studia Instituti Anthropos 31 (Boston, 1978), 226f,, fig, 44;
Torok, Meroitica 10 (1989): 145, no. 198, 183

THE

KINGDOM

389

0 F

NAPA TA AND NEROE
"
451,Bows With LOOP HANDLES,"Bronze; H. 9.5 em, Diam. 11.1 a P","Khartoum, National Museum 1505","451 Bows With LOOP HANDLES

Bronze; H. 9.5 em, Diam. 11.1 a P
From Gamai, cemetery 100, — ved € 904
Harvard University Excavation 1915,

Meroitic, third to fourth century AD.

Khartoum, National Museum 1505

wi with conical
n of Roman
joop han-

The form of the flat bo
foot follows in the tae
metal vessels. However, th terior
dles extending far over nner Well
the rim are treated in 4 late an d
attested from many sites "" ggesting
post-Meroitic contexts,
local manufacture.

i Gammai,
vations al
‘cai 38S ; oy fi
hinnie roi, 1» P .
Mi 3
alog

Lit: 0, Bates and D. Dunha
Harvard African Studies Vill
pls. XXXILSA, LXV, fig 12, P,
cf. Cairo JE 89674; Weng. cat

i
— SN
Ss

SS

iP
Y, Vig"
454,Bow. a,"Bronze; H. 6.7 cm, Diam. 11.7 cm","Khartoum, National Museum 26291","454 Bow. a

Bronze; H. 6.7 cm, Diam. 11.7 cm

From el-Hobagi, Tum. Ill

SFDAS, field no, HBG WN/1/135
Post-Meroitic, fourth to fifth century A.
Khartoum, National Museum 26291

For the continuity of the Meroitic king-
dom in the fourth and fifth century
A.D., the most important site is el-
Hobagi, situated not far from Wad Ban
Naga on the left (west) bank of the
Nile. Instead of the pyramid form, the
traditional tumulus reappears, now
surrounded by a large temenos wall.
Although these are usually seen as typ-
ically post-Meroitic complexes, the
burial equipment found in the el-
Hobagi tombs indicates just the oppo-
site. Their inventory is strictly Meroitic;
hence the fall of the city of Meroe and
its royal cemetery is not delineated by
any sharp, historical break. The conti-
nuity of Meroitic culture extends into 453
the fourth and fifth centuries A.D.

An inscription in Meroitic hieroglyphs

mentioning the words “king” and 5 LO VinuDisav? Vashi

""god"" appears on this bronze bowl rr er ar re
from Tumulus Ill. This is the latest ‘ % ; BS A, A ade

known Meroitic text discovered so far. —4sq *. -

Lit Lenoble and Nigm, ed, Din, Antiquity 66 (1992): 634,
fig. 6; Shinnie and Robertson, Antiquity 67 (1993): 897;
Lenoble, catalogue Nubie (Lille, 1994), 228, no. 314; idem
et al,, HNL 25 (1994): 60, 80, pl. 12; Valbelle, in Les
Dossiers d'Archéologie 196 (1994): 58; REM 1222 (MNL 25
(1994): 13)

383

if

(m4

--- Page 387 ---
THE

KINGDOM

384

0 F

NAPASA AND MEROE
"
455,Cup,Bronze; H. 6.8 cm; Diam. 10.1 cm,"Khartoum, National Museum 26307","455 Cup

Bronze; H. 6.8 cm; Diam. 10.1 cm

From el-Hobagi, Tum. Vl

SFDAS 1987, field no. HBG VI/I/16
Post-Meroitic, fourth to fifth century A.D.
Khartoum, National Museum 26307

Beneath the rim runs a frieze of twen-
ty-four frogs. Below these are
arabesques with standing and hanging

lotus blossoms.

Lit: Lenoble and Nigm, ed. Din, Antiquity 66 (1992): 630,
ity 67 (1993): 897;

fig. 3; Shinnie and Robertson, Antiqui
Lenoble, catalogue Nubie (Lille, 1994), 230f., no. 321
"
456,Bow.,"Bronze: H. 13.3. cm, Diam. 22 cm","Khartoum, National Museum 2","456 Bow.

Bronze: H. 13.3. cm, Diam. 22 cm

From el-Hobagi, Tum. Vl 9
SFDAS 1987, field no. HBG yIl/
Post-Meroitic, fourth to fifth century A.D.

Khartoum, National Museum 2

ems occur on the ornamental
while falcons with
dorn the hemi-

Flower st
band below the rim,
outstretched wings @
spherical body.

Lit: Lenoble, Nubie, 231, n0- 322
"
457,BEL,"Bronze; H, 10.8 cm, Diam. 10.6 cm","Khartoum, National Museum 26304","457 BEL

Bronze; H, 10.8 cm, Diam. 10.6 cm

From el-Hobagi, Tum. II
174

SFDAS, field no. HBG IN/1/

PosteMeroitic, fourth to fifth century A.D.

Khartoum, National Museum

The bronze bell from @ set of horse
trappings shows tW° decorated bands

of guinea fowl. Horsé trappings were
also discovered at Mef® 4s part of the
deceased's burial equipment (cf. cats.
395-398).

Lit Lenobl, MAL 25 (1994), 63 he ; it
Archéologie du Nil Hoyen é us “no a2 ae:
catalogue Hubie (Lille, 1994) a“

--- Page 388 ---
LATE MEROITIC CULTURE

Bronze; H. 10.5 cm, Diam. 17.1

From el-Hobagi, Tum. VI

SFDAS, field no. HBG VI/I/11
Post-Meroitic, fourth to fifth century A.0.
Khartoum, National Museum 26304

Six tiny bells and a ring are suspended
from the seven small cones soldered
below the bowl's rim.

Lit: Lenoble, catalogue Aubie (Lille, 1994), 228, no. 315
458 481

385

--- Page 389 ---"
460,Bow.,"Bronze; H. 7.1 cm, Diam. 14.7 em","Khartoum, National Museum 26314","460 Bow.

Bronze; H. 7.1 cm, Diam. 14.7 em

From el-Hobagi, Tum. VI

SFDAS, field no. HBG YI/1/22
Post-Meroitic, fourth to fifth century A.
Khartoum, National Museum 26314

Impressions of the linen in which this

vessel was wrapped are visible on the
surface.

Lit: Unpublished
"
462,Bow.,"Bronze; H. 7.0 cm, Diam. 11.3 cm","Khartoum, National Museum 26281","462 Bow.

Bronze; H. 7.0 cm, Diam. 11.3 cm

From el-Hobagi, Tum. Ill

SFDAS, field no. HBG III/1/61
Post-Heroitic, fourth to fifth century 40.
Khartoum, National Museum 26281

The undecorated vessel shows a slight-
ly flaring rim.

Lit: Unpublished
"
464,Bow.,"Bronze; H. 8.6 cm, Diam. 13.7-16.4 cm","Khartoum, National Museum 26303","464 Bow.

Bronze; H. 8.6 cm, Diam. 13.7-16.4 cm
From el-Hobagi, Tum. VI

SFDAS, field no. HBG VI/I/10
Post-Heroitic, fourth to fifth century 4.0.
Khartoum, National Museum 26303

An ornamental band of lying lotus
blossoms appears below the rim, inter-
rupted by a ring loop with ring
attached. Vines and Hathor heads
alternate in the decoration below, run-
ning around the body of the vessel.

Lit: Unpublished

386

0 F

NAPATA AND MEROE
"
465,Bow.,"Bronze; H. 10.7 cm, Max. diam. 19.4 cm","Khartoum, National Museum 26305","465 Bow.

Bronze; H. 10.7 cm, Max. diam. 19.4 cm
From el-Hobagi, Tum. VI

SFDAS, field no. HBG VI/1/12
Post-Meroitic, fourth to fifth century A.D.
Khartoum, National Museum 26305

Seven small cones are placed around
the rim. Six of them support bronze
bells, the seventh a ring. Four double-
headed falcons with outstretched wings
are incised on the vessel walls, while a
Hathor head adorns the bottom.

Lit.: Unpublished
"
466,Bow.,"Bronze; H. 6.8 cm, Diam. 12.4 cm","Khartoum, National Museum 26283","466 Bow.

Bronze; H. 6.8 cm, Diam. 12.4 cm

From el-Hobagi, Tum. III

SFDAS, field no. HBG 11/1/63
Post-Meroitic, fourth to fifth century A.D.
Khartoum, National Museum 26283

A medallion representing a bearded
male head appears in the bottom cen-
ter of this otherwise undecorated
bowl.

Lit: Unpublished

--- Page 390 ---
LATE MEROITIC CULTURE

459/460/461

462/463/464

387


--- Page 31 ---"
9,ChaUCE,,"Khartoum, National Museum 26883","9  ChaUCE

Fired day; H. 37.4 cm, Hay, diam
Hin. diam. 6.2 cm

From Kadruka, Cemetery 1, Tomb [31

Excavations of the SFDAS, KOK WBI/NG
Neolithic

Khartoum, National Museum 26883

. 21.9 cm,

The bell-shaped vessels from el-
Kadada show definite Stylistic develop-
ments over their counterparts from
Kadero (cat. 5). The body has become
thinner, the mouth broader. The com-

pact, stocky form of the earlier Kadero
cups is replaced by an elegant, soaring
outline. The striped dot pattern, pro-
duced by impressing a comb-like
implement, covers the upper and
lower thirds of the exterior, leaving free
a smoothly polished central area. A tri-
angular pattern adorns the interior of
the rim. All the decoration is filled with

a white coloring that enhances the

patierns, Lit: Reinold, catalogue Mubie (Lie, 1984), 82, no. 86;
idem, in W.Y. Davies, ed., Egypt and Africa (London, 1991),
25, fig. 6; idem, Etudes nubiennes Il (1994), 93-100

22

--- Page 34 ---
RENARKS ON THE PREHISTORY OF THE SUDAN
"
10,Cuauce,"Fired clay; H. 27.7 cm, Max. diam. 23.4 cm,","Khartoum, National Museum 26899","10 Cuauce

Fired clay; H. 27.7 cm, Max. diam. 23.4 cm,
Hin. diam. 5.4 cm

From el-Kadada, Cemetery C, Sector 76, Tomb 3
Excavations of the SFDAS, KDD 76/3/59

Late Neolithic

Khartoum, National Museum 26899

The short body of this round-bottomed
vessel contrasts sharply with the wide-
ly flaring mouth. Just above the
extreme recurve of the neck, a pol-
ished horizontal band interrupts the

23

striped pattern of the the exterior,
which seems to imitate basketry made
of wide plant fibers, perhaps palm
fronds. A large triangle pattern deco-
rates the rim’s interior.

Lit: Geus, in Van Noorsel, ed., New Discoveries in Nubia.
Proceedings of the Colloquium on Nubian Studies,

The Hague, 1979 (Leiden, 1982), 16, pl.Y, fig. 4, pl. XI(o
idem, Rescuing Sudan's Ancient Cultures (Lille, 1984), 57,
fig. 7; Reinold, catalogue Nubie (Lille, 1994), 60f,, no. 63:
Welsby, catalogue Africa: The Art of a Continent
(London, 1995), 105, no. 1.75

--- Page 35 ---"
14,Bow With Two SPOUTS,"Fired clay; H. 9 cm, W. 21.1 cm,","Khartoum, National Museum 27360","14 Bow With Two SPOUTS

Fired clay; H. 9 cm, W. 21.1 cm,

Th. 14.5 cm

From Kadruka, Cemetery |, Tomb 69
Excavations of the SFDAS, KDK 1/69/1
Neolithic

Khartoum, National Museum 27360

Traces of red pigment are visible on the
interior of this vessel.

Lit: Reinold, in W.V, Davies, ed., Egypt and Africa
(London, 1991), 25, fig. 6
"
15,Sieve,"Fired clay; H. 6.1 cm,","Khartoum, National Museum 26882","15 Sieve

Fired clay; H. 6.1 cm,

Max. diam. 8.7 cm

From Kadruka, Cemetery 1, Tomb 120
Excavations of the SFDAS, KDK 1/120/3
Neolithic

Khartoum, National Museum 26882

Before firing, holes were drilled from
the inside out through the walls of this
sieve. An incised pattern adorns the rim.

Lit: Reinold, catalogue Nubie (Lille, 1994), 86, no. 94

27
"
16,SPOUTED VESSEL,"Fired clay; H. 8.5 cm, Max. diam. 13.3 cm,","Khartoum, National Museum 26968","16 SPOUTED VESSEL

Fired clay; H. 8.5 cm, Max. diam. 13.3 cm,
W. with spout 17.5 cm

From Kadruka, Cemetery 21, Tomb 36
Excavations of the SFDAS, KDK 21/36/1
Neolithic

Khartoum, National Museum 26968

The spout of this undecorated vessel
curves outward and upward.

Lit: Unpublished

--- Page 37 ---
THE PREHISTORY OF THE SUDAN
"
17,Flask,"Fired clay; H. 22.9 cm, Max. diam. 17.3 cm","Khartoum, National Museum 26880","17 Flask

Fired clay; H. 22.9 cm, Max. diam. 17.3 cm
From Kadruka, Cemetery |, Tomb 106
Excavations of the SFDAS, KDK 1/106/4
Neolithic

Khartoum, National Museum 26880
(incorrectly labeled as 26878)

This unusually shaped vessel shows a
distinctly “African” form, and has an
incised pattern on the plastically
applied rim.

Lit: Lectant and Clerc, Orientalia $7 (1988): fig. 74 (in situ);
Reinold, catalogue Nubie (Lille, 1994), 84f,, no. 91
"
18,OVAL VESSEL,"Fired clay; H. 16.7 cm, Max. diam. 28.2 cm","Khartoum, National Museum 26879","18 OVAL VESSEL

Fired clay; H. 16.7 cm, Max. diam. 28.2 cm
From Kadruka, Cemetery |, Tomb 45
Excavations of the SFDAS, KDK 1/45/4
Neolithic

Khartoum, National Museum 26879

Borings for repair are visible along an
old break line. The rim has an incised
pattern.

Lit: Reinold, catalogue, Nubie (Lille, 1994), 84, no. 90
"
19,MACEHEAD,"Hard stone (gabbro!); H. 4.4 cm, Max. diam. 9 cm","Khartoum, National Museum 26874","19 MACEHEAD

Hard stone (gabbro!); H. 4.4 cm, Max. diam. 9 cm
From Kadruka, Cemetery |, Tomb 119
Excavations of the SFDAS, KDK 1/119/8

Neolithic

Khartoum, National Museum 26874

The cylindrical drill-hole for attachment
to the handle is asymmetrically situat-
ed on this conical macehead. Such
weapons were placed with the burial
equipment of important individuals,
sometimes in large numbers, as sym-
bols of power and status.

Lit: Reinold, catalogue, Nubie (Lille, 1994), 80, no, 82

28

--- Page 38 ---
REMARKS ON THE PREHISTORY OF THE SUDAN
"
20,BowL WITH HANDLE GRASP,"Fired clay; H. 9.6 cm, Max. diam. 16.7/19.3 cm","Khartoum, National Museum 26894","20 BowL WITH HANDLE GRASP

Fired clay; H. 9.6 cm, Max. diam. 16.7/19.3 cm
From el-Kadada, Cemetery C, Sector 75, Tomb 3
Excavations of the SFDAS, KDD 75/3/10
Neolithic

Khartoum, National Museum 26894

This form has already been anticipated
at Kadero (cat. 8). A banded pattern
decorates the exterior.

Lit: Geus and Reinold, CRIPEL 5 (1979), 39f., 42, fig. 14,
pl. X¥la (with incorrect field no. KDD 75-1-10);

Geus, Rescuing Sudan's Ancient Cultures (Lille, 1984), 45,
fig. 96, 65, fig. |; Reinold, catalogue Aubie (Lille 1994),
64ff,, no. 70. Cf. J. Bourriau, Umm el-Ga‘ab (Cambridge,
1989), 98f., nos. 194, 195, 200

20/21/22

29

--- Page 39 ---"
22,STEEP-WALLED BOWL,"Fired clay; H. 12.3 cm, Max. diam. 17.5 cm","Khartoum, National Museum 26898","22 STEEP-WALLED BOWL

Fired clay; H. 12.3 cm, Max. diam. 17.5 cm
From el-Kadada, Cemetery C, Sector 76, Tomb 3
Excavations of the SFDAS, KDD 76/3/40

Late Neolithic

Khartoum, National Museum 26898

The decoration consists of incised lines,
divided into four sections by smooth
vertical lines.

Lit: Geus, Rescuing Sudan's Ancient Cultures (Lille, 1984),
58F,, fig. 2; idem, in Kobusiewice and Krzyzaniak, ed.,
Origin and early development of food-producing cultures
in North-Eastern Africa (Posen, 1984), 367, fig. 6; Reinold,
Catalogue Mubie (Lille, 1994), 62f., no. 65

30

PREHISTORY

OF THE
"
23,AX HANDLE,"Green stone; L. 22.3 cm, W. 6.5 cm, Th. 4.9 cm","Khartoum, National Museum 26884","23 AX HANDLE

Green stone; L. 22.3 cm, W. 6.5 cm, Th. 4.9 cm
From el-Kadada, Cemetery C, Sector 76, Tomb 3
Excavations of the SFDAS, KDD 12/1/5
Neolithic

Khartoum, National Museum 26884

The blade area is polished. The
absence of any traces of actual use
indicates that this is a ceremonial
weapon.

Lit: Geus and Reinold, CR/PEL 5 (1979), 87, 143, pl. XXXVIla;
Geus, in Kobusiewicz and Krzyzaniak, eds., food-producing
cultures (cf. cat. 22), 369, fig. 8; Reinold, catalogue

Nubie (Lille, 1994), 56f,, no. 55

24/25/26

>

5

--- Page 40 ---
REMARKS ON THE PREHISTORY OF THE SUDAN

31


--- Page 391 ---
465/466/467

THE

388

KINGDOM

OF NAPSTA AND HEROE
"
467,Bow,"Bronze; H. 8.6 cm, Diam.","Khartoum, National Museum 26308","467 Bow

Bronze; H. 8.6 cm, Diam.
From el-Hobagi, Tum. VI

14.6 cm

SFDAS, field no. HBG VI/I/I7
Post-Meroitic, fourth to fifth century 40.
Khartoum, National Museum 26308

Remains are still visible of the vine

ornamentation, the

scale pattern on

the vessel body, and 4 four-leafed
rosette on the bottom.

Lit.: Unpublished
"
